route_id,carrier_id,lead_time_window,base_fare,taxes,fees,total_fare
DEL-BOM,IGO,T+1,4800.00,720.00,280.00,5800.00
DEL-BOM,IGO,T+15,3200.00,480.00,220.00,3900.00
DEL-BOM,SEJ,T+1,4600.00,690.00,260.00,5550.00
DEL-BOM,SEJ,T+15,3100.00,465.00,205.00,3770.00
DEL-BLR,IGO,T+1,5500.00,825.00,325.00,6650.00
DEL-BLR,IGO,T+15,3800.00,570.00,250.00,4620.00
DEL-BLR,SEJ,T+1,5300.00,795.00,305.00,6400.00
DEL-BLR,SEJ,T+15,3650.00,547.50,232.50,4430.00
BOM-BLR,IGO,T+1,3900.00,585.00,215.00,4700.00
BOM-BLR,IGO,T+15,2600.00,390.00,180.00,3170.00
BOM-BLR,SEJ,T+1,3750.00,562.50,207.50,4520.00
BOM-BLR,SEJ,T+15,2500.00,375.00,175.00,3050.00
